,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
163262,49998673,DE,,,AA-IVA,AA-IVA,,,B8,,,AUDI,A5 SPORTBACK 2.0,M1,M1,1,1560.0,,,124.0,,,,PETROL,H,1984.0,150.0,,,,,,,P,2021,2021-10-05,,
164589,50232178,DE,IP-A03_5MT_2_14_01-MMC-1,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD,,E1*2007/46*0951*15,A00,A0311,AFBBA5A5AAAA,MITSUBISHI,MITSUBISHI SPACE STAR,M1,M1,1,940.0,1062.0,,113.0,2450.0,1415.0,1430.0,PETROL,M,1193.0,52.0,,E1 29,,0.8,,,P,2021,2021-08-04,5.0,
164590,50232179,DE,IP-MLB42AS_A0_0611-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*21,FY,XDLGAQ1,QD7AD7DK002RT61B184BFAEM8FS0,AUDI,Q5 50 TFSI E,M1,M1,1,2105.0,2212.0,46.0,51.0,2826.0,1622.0,1626.0,PETROL/ELECTRIC,P,1984.0,185.0,189.0,,,,,,P,2021,2021-03-01,,55.0
164601,50232190,DE,IP-MLB42AS_A0_4008-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*21,FY,XDLGAQ1,QD7AD7DK002RT61B184BFAEM9FS0,AUDI,Q5 55 TFSI E,M1,M1,1,2105.0,2262.0,46.0,50.0,2826.0,1622.0,1626.0,PETROL/ELECTRIC,P,1984.0,185.0,190.0,,,,,,P,2021,2021-02-10,,54.0
164602,50232191,DE,,,AA-IVA,AA-IVA,,,G70,21EH,21EH,BMW,740I,M1,M1,1,2240.0,,,,,,,PETROL,M,2998.0,280.0,,,,,,,P,2021,2021-09-24,,
164714,50232303,DE,,,AA-IVA,AA-IVA,,,CHALLENGER,SXT,SXT,DODGE,DODGE CHALLENGER SXT,M1,M1,1,1900.0,,,,,,,PETROL,M,3604.0,227.0,,,,,,,P,2021,2021-11-16,,
165825,50233414,DE,,,AA-IVA,AA-IVA,,,CHALLENGER,,,DODGE,CHALLENGER SXT,M1,M1,1,1825.0,,,249.0,,,,PETROL,M,3604.0,227.0,,,,,,,P,2021,2021-01-28,,
168369,50235958,DE,IP-MLB42AZ_B0_0666-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*25,FY,XDMKCQ1,QA8QA8D5029RT41C214BIBEM1FLD2,AUDI,SQ5,M1G,M1G,1,2085.0,2302.0,,221.0,2824.0,1622.0,1626.0,DIESEL,H,2967.0,251.0,,,,,,,P,2021,2021-05-11,8.4,
168469,50236058,DE,IP-MLB42AZ_B0_0683-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*27,FY,SDRYAQ1,QD7AD7DK002RT61C204BIBEM9FLB3,AUDI,Q5 SPORTBACK 55 TFSI E,M1G,M1G,1,2150.0,2320.0,44.0,41.0,2824.0,1622.0,1626.0,PETROL/ELECTRIC,P,1984.0,195.0,215.0,,,,,,P,2021,2021-06-24,,67.0
168713,50236302,DE,IP-MLB42AZ_B0_0666-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*26,FY,SDMKCQ1,QA8QA8D5029RT41C214BIBEM1FLD2,AUDI,SQ5 SPORTBACK,M1G,M1G,1,2085.0,2285.0,,220.0,2824.0,1622.0,1626.0,DIESEL,H,2967.0,251.0,,,,,,,P,2021,2021-05-27,8.4,
169047,50236636,DE,,,AA-IVA,AA-IVA,,,G70,21EJ,21EJ,BMW,735D XDRIVE,M1,M1,1,2320.0,,,,,,,DIESEL,H,2993.0,210.0,,,,,,,P,2021,2021-12-08,,
169236,50236825,DE,IP-MLB42AZ_B0_0661-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*26,FY,SDMGAQ1,QA8QA8D5025RT51C204BIBEM1FSD2,AUDI,Q5 SPORTBACK,M1,M1,1,2030.0,2216.0,,222.0,2826.0,1622.0,1626.0,DIESEL,H,2967.0,210.0,,,,,,,P,2021,2021-04-28,8.5,
